TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT
audit_log,id_audit,int,NO,PRI,NULL
audit_log,id_user,int,YES,MUL,NULL
audit_log,action,varchar,NO,,NULL
audit_log,table_cible,varchar,NO,,NULL
audit_log,id_cible,int,YES,,NULL
audit_log,donnees_avant,json,YES,,NULL
audit_log,donnees_apres,json,YES,,NULL
audit_log,ip_address,varchar,YES,,NULL
audit_log,user_agent,text,YES,,NULL
audit_log,date_action,timestamp,YES,,CURRENT_TIMESTAMP
avis,id_avis,int,NO,PRI,NULL
avis,id_client,int,NO,MUL,NULL
avis,id_business_user,int,YES,MUL,NULL
avis,id_reservation,int,YES,MUL,NULL
avis,note,tinyint,NO,,NULL
avis,commentaire,text,YES,,NULL
avis,consentement_client_affichage,tinyint,YES,,0
avis,autorisation_prestataire_affichage,tinyint,YES,,0
avis,reponse_prestataire,text,YES,,NULL
avis,date_creation,timestamp,YES,,CURRENT_TIMESTAMP
avis,visible,tinyint,YES,,0
business,id_business,int,NO,PRI,NULL
business,nom,varchar,NO,,NULL
business,description,text,YES,,NULL
business,siret,varchar,YES,,NULL
business,email_contact,varchar,YES,,NULL
business,latitude,decimal,YES,,NULL
business,longitude,decimal,YES,,NULL
business,telephone,varchar,YES,,NULL
business,adresse,varchar,YES,,NULL
business,ville,varchar,YES,,NULL
business,code_postal,varchar,YES,,NULL
business,pays,varchar,YES,,France
business,id_admin,int,YES,MUL,NULL
business,image_url,varchar,YES,,NULL
business,actif,tinyint,YES,,1
business_evenement_exceptionnel,id_fermeture,int,NO,PRI,NULL
business_evenement_exceptionnel,id_business,int,NO,MUL,NULL
business_evenement_exceptionnel,type_evenement,enum,NO,,FERMETURE
business_evenement_exceptionnel,date_debut,datetime,NO,,NULL
business_evenement_exceptionnel,date_fin,datetime,NO,,NULL
business_evenement_exceptionnel,motif,varchar,YES,,NULL
business_evenement_exceptionnel,recurrence,enum,YES,,NULL
business_evenement_exceptionnel,heure_ouverture,time,YES,,NULL
business_evenement_exceptionnel,heure_fermeture,time,YES,,NULL
business_evenement_exceptionnel,pause_debut,time,YES,,NULL
business_evenement_exceptionnel,pause_fin,time,YES,,NULL
business_horaires,id_horaire,int,NO,PRI,NULL
business_horaires,id_business,int,NO,MUL,NULL
business_horaires,jour_semaine,tinyint,NO,,NULL
business_horaires,heure_ouverture,time,NO,,NULL
business_horaires,heure_fermeture,time,NO,,NULL
business_horaires,pause_debut,time,YES,,NULL
business_horaires,pause_fin,time,YES,,NULL
business_horaires,actif,tinyint,YES,,1
business_user,id_business_user,int,NO,PRI,NULL
business_user,id_user,int,NO,MUL,NULL
business_user,id_business,int,NO,MUL,NULL
business_user,role_interne,enum,YES,,employe
business_user,date_embauche,date,YES,,NULL
business_user,date_depart,date,YES,,NULL
business_user,specialites,json,YES,,NULL
business_user,actif,tinyint,YES,,1
client_business_note,id_note,int,NO,PRI,NULL
client_business_note,id_user_client,int,NO,MUL,NULL
client_business_note,id_business,int,NO,MUL,NULL
client_business_note,id_business_user_auteur,int,NO,MUL,NULL
client_business_note,contenu_note,text,NO,,NULL
client_business_note,date_creation,timestamp,YES,,CURRENT_TIMESTAMP
client_business_note,actif,tinyint,YES,,1
client_employee_preference,id_preference,int,NO,PRI,NULL
client_employee_preference,id_user_client,int,NO,MUL,NULL
client_employee_preference,id_business_user,int,NO,MUL,NULL
